Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
GINASIO COMERCIAL DE PATU,RN,PATU,Privada,Médio,466.51,438.46
EEEFM JOAO ROGERIO D TOLEDO,PB,ASSUNCAO,Estadual,Baixo,466.51,409.17
ESCOLA DR LUIZ CABRAL DE MELO,PE,PAULISTA,Estadual,Médio,466.50,423.61
COLEGIO AGRICOLA ESTADUAL ANGELO EMILIO GRANDO,RS,ERECHIM,Estadual,Médio,466.50,319.00
CE TENENTE OTAVIO PINHEIRO,RJ,BELFORD ROXO,Estadual,Médio Alto,466.50,454.85
EE CINCO DE ABRIL,MT,SAO JOSE DO XINGU,Estadual,Médio,466.50,450.77
ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA ISMENIA LEMOS WANDERLEY,PE,BREJAO,Estadual,Baixo,466.48,385.82
EE DR MARTINHO MARQUES,MS,TAQUARUSSU,Estadual,Médio,466.47,388.18
COLEGIO ESTADUAL PROFESSOR JOSE LOPES RODRIGUES,GO,APARECIDA DE GOIANIA,Estadual,Médio,466.44,411.14
CE SENADOR JOSE SARNEY,MA,SANTA INES,Estadual,Médio Baixo,466.44,408.16
JOAO NOGUEIRA JUCA EEFM,CE,FORTALEZA,Estadual,Médio Baixo,466.44,392.81
EE PROF RAFAEL RUEDA,MT,CUIABA,Estadual,Médio,466.43,392.08
ESC EST ENSINO MEDIO LUCILA NOGUEIRA,RS,BOA VISTA DAS MISSOES,Estadual,Médio Alto,466.43,501.82
LUIZA TAVORA EEM,CE,JUCAS,Estadual,Baixo,466.42,372.93
INST EST EDUC SAO JOAO BATISTA,RS,HERVAL,Estadual,Médio Alto,466.39,423.24
SANTA MONICA C E EF M PROFIS,PR,SANTA MONICA,Estadual,Médio,466.39,389.17
ESCOLA ESTADUAL TARCISIO SOARES PALMEIRA,AL,SAO MIGUEL DOS CAMPOS,Estadual,Médio Baixo,466.37,460.35
UNID ESC ANTONIO BORGES LEAL,PI,MANOEL EMIDIO,Estadual,Médio Baixo,466.36,426.15
CE ESTADO DO MARANHAO,MA,TUNTUM,Estadual,Médio Baixo,466.34,360.25
EEEFM NOSSA SRA DA CONCEICAO,ES,LINHARES,Estadual,Médio,466.33,389.57
EE PADRE JOAO TOMES,MS,TRES LAGOAS,Estadual,Médio Alto,466.33,436.57
CE FERNANDO PERDIGAO,MA,SAO LUIS,Estadual,Médio Baixo,466.32,425.35
SERGIO MURILLO RADUAN PROFESSOR,SP,SAO PAULO,Estadual,Médio Alto,466.29,437.50
CE OSCAR GALVAO,MA,PEDREIRAS,Estadual,Baixo,466.26,411.23
MONSENHOR CATAO PORFIRO SAMPAIO EEM,CE,ITAPAGE,Estadual,Médio Baixo,466.26,398.72
EEEFM PROF ORLANDO CAVALCANTI GOMES,PB,JOAO PESSOA,Estadual,Médio Alto,466.25,396.84
EEEFM CICERO DOS ANJOS,PB,SAO VICENTE DO SERIDO,Estadual,Baixo,466.25,397.41
COLEGIO SUPER,MA,SANTA QUITERIA DO MARANHAO,Privada,Baixo,466.24,470.00
ESCOLA ESTADUAL MARIO DAVID ANDREAZZA,RR,BOA VISTA,Estadual,Médio Alto,466.24,451.18
EEEFM JOAQUIM XAVIER DE OLIVEIRA,RO,ALVORADA D OESTE,Estadual,Médio,466.24,431.11
CE GENERAL DUTRA,RJ,CAMPOS DOS GOYTACAZES,Estadual,Médio,466.24,441.43
ESC EST ENS MEDIO MARIO QUINTANA,RS,BAGE,Estadual,Médio Baixo,466.23,372.96
MARIA VIEIRA DE PINHO EEM,CE,IPAPORANGA,Estadual,Baixo,466.22,413.40
CE ERASMO DIAS,MA,PACO DO LUMIAR,Estadual,Médio Baixo,466.22,381.99
COLEGIO ESTADUAL ALFREDO NASSER,GO,ARENOPOLIS,Estadual,Médio,466.21,365.71
COLEGIO ESTADUAL JARBAS JAYME,GO,PIRENOPOLIS,Estadual,Médio,466.21,333.75
ESC EST IVONETE CARLOS,RN,FRUTUOSO GOMES,Estadual,Médio Baixo,466.19,415.86
ESC EST MAL CASTELO BRANCO,AP,MACAPA,Estadual,Médio Alto,466.19,462.86
EEEM FREI MIGUEL DE BULHOES - SEDE,PA,SAO MIGUEL DO GUAMA,Estadual,Baixo,466.16,413.31
ESCOLA INSTITUTO PRESBITERIANO DE HELIOPOLIS,PE,GARANHUNS,Estadual,Médio Baixo,466.16,428.42
CENTRO DE ENSINO MEDIO GIRASSOL DE TEMPO INTEGRAL DEPUTADO DARCY MARINHO,TO,TOCANTINOPOLIS,Estadual,Médio Baixo,466.16,433.23
EE IR DIVA PIMENTEL,MT,BARRA DO GARCAS,Estadual,Médio,466.16,425.79
ESC EST PROF FELIPE BITTENCOURT I GRAU,RN,PARELHAS,Estadual,Médio Baixo,466.15,465.33
EEEFM CARLOS DRUMMOND DE ANDRADE,RO,CACOAL,Estadual,Médio,466.14,352.26
COLEGIO ESTADUAL ALFREDO NASSER,GO,BRITANIA,Estadual,Médio,466.14,379.39
UNID ESC DE JOAO ALVES DE MACEDO FILHO,PI,JUAZEIRO DO PIAUI,Estadual,Baixo,466.14,354.13
ESCOLA ESTADUAL CARAUARI,AM,CARAUARI,Estadual,Médio,466.14,428.57
COLEGIO ESTADUAL JUSCELINO K OLIVEIRA,GO,DOVERLANDIA,Estadual,Médio,466.13,345.58
SAO FRANCISCO DA CRUZ EEM,CE,CRUZ,Estadual,Baixo,466.12,375.74
EE JOSE ACACIO DA SILVA,MG,AGUA COMPRIDA,Estadual,Médio,466.12,457.33
COLEGIO ESTADUAL ABELARDO BARRETO DO ROSARIO,SE,TOBIAS BARRETO,Estadual,Médio Baixo,466.11,417.72
CE URBANO ROCHA,MA,IMPERATRIZ,Estadual,Médio,466.08,427.22
ESC DR JOAO BATISTA AGUIAR,AC,RIO BRANCO,Estadual,Médio,466.04,413.58
MARIO COVAS JUNIOR GOV COLEGIO MUNICIPAL,SP,SANTANA DE PARNAIBA,Municipal,Médio Alto,466.04,441.05
AGOSTINHO NERES PORTELA EEM,CE,SOBRAL,Estadual,Baixo,466.02,361.24
COLEGIO ESTADUAL MANOEL JOAQUIM DE OLIVEIRA CAMPOS,SE,AMPARO DE SAO FRANCISCO,Estadual,Médio Baixo,465.99,382.50
EE SAO LUIZ,MT,CACERES,Estadual,Médio,465.99,428.72
CE EDISON LOBAO,MA,IMPERATRIZ,Estadual,Médio Baixo,465.98,416.52
EE JOAO HERMENEGILDO CALDEIRA,MG,DATAS,Estadual,Médio Baixo,465.97,409.80
COLEGIO ESTADUAL JOSINO MENEZES,SE,JAPOATA,Estadual,Médio Baixo,465.97,426.47
EE BENJAMIN VERSIANI DOS ANJOS,MG,MONTES CLAROS,Estadual,Médio Baixo,465.96,381.86
EEB SAO TIAGO,SC,SANTIAGO DO SUL,Estadual,Médio,465.96,450.59
ESCOLA DIVINO MESTRE,MA,ACAILANDIA,Privada,Médio Alto,465.95,460.00
UNID ESC DE ENSINO MEDIO OTAVIO ESCORCIO GOMES,PI,MURICI DOS PORTELAS,Estadual,Baixo,465.95,381.11
SANTO AMARO EEFM,CE,FORTALEZA,Estadual,Médio Baixo,465.92,410.67
EEEFM JOSE LUIZ NETO,PB,BARRA DE SANTA ROSA,Estadual,Baixo,465.91,401.79
EE ELPIDIO FONSECA,MG,SAO FRANCISCO,Estadual,Médio Baixo,465.89,395.20
ESCOLA ESTADUAL HOMERO DE MIRANDA LEAO,AM,MANAUS,Estadual,Médio,465.89,454.57
MARIA HILDA ORNELAS DE OLIVEIRA PROFESSORA,SP,GUARULHOS,Estadual,Médio Alto,465.88,441.14
COLEGIO ESTADUAL RIO BRANCO,BA,CONCEICAO DO COITE,Estadual,Médio Baixo,465.88,391.67
COLEGIO AGROPECUARIO DE ALMAS,TO,ALMAS,Estadual,Médio,465.87,221.05
PROFESSOR LUIZ GONZAGA DA FONSECA MOTA EEM,CE,QUIXELO,Estadual,Baixo,465.81,359.74
EEEFM VALDEMIRO WANDERLEY DE OLIVEIRA,PB,SANTA CRUZ,Estadual,Médio Baixo,465.81,426.06
UNID ESC SEVERO MARIA EULALIO,PI,SANTA CRUZ DO PIAUI,Estadual,Médio Baixo,465.79,399.61
UNID ESC POLIVALENTE DES VIDAL DE FREITAS,PI,PICOS,Estadual,Médio Baixo,465.78,397.44
ESCOLA N M 11 ENSINO FUNDAMENTAL E MEDIO,PE,PETROLINA,Estadual,Médio Baixo,465.77,421.82
CE DIOLINDO DE PAULA RIBEIRO,MA,NOVA COLINAS,Estadual,Baixo,465.77,387.50
CE RIO DOURADO,RJ,CASIMIRO DE ABREU,Estadual,Médio Baixo,465.76,455.45
EE ESTER SILVA,MS,BELA VISTA,Estadual,Médio Alto,465.74,432.86
UNID ESC DR JOSE RIBAMAR LOPES,PI,NOSSA SENHORA DE NAZARE,Estadual,Baixo,465.74,348.89
COLEGIO ESTADUAL JOAQUIM DE SENA E SILVA,TO,COMBINADO,Estadual,Médio Baixo,465.73,371.22
ANTONIO JOSE DOS SANTOS DOM,SP,ASSIS,Estadual,Médio Alto,465.68,422.00
EEEFM PRESIDENTE KENNEDY,PB,SANTANA DE MANGUEIRA,Estadual,Baixo,465.68,358.46
ESCOLA ESTADUAL DE EDUCACAO BASICA ERICO VERISSIMO,RS,JACUTINGA,Estadual,Médio Alto,465.67,430.00
EEEFM PROF JOSE FRANCISCO DOS SANTOS,RO,JI-PARANA,Estadual,Médio,465.66,402.96
COLEGIO ESTADUAL MANOEL ALCINO DO NASCIMENTO,SE,GRACHO CARDOSO,Estadual,Médio Baixo,465.66,387.73
CASA FAMILIAR RURAL DE IGRAPIUNA,BA,IGRAPIUNA,Privada,Muito Baixo,465.65,346.00
CE MAURA JORGE DE MELO,MA,LAGO DA PEDRA,Estadual,Baixo,465.64,391.40
EEEM - SANTINA MOROSINI CUPERTINO,ES,LINHARES,Estadual,Médio Baixo,465.63,382.58
GAL MURILO BORGES MOREIRA EEFM,CE,FORTALEZA,Estadual,Médio Baixo,465.62,399.29
MARABA PAULISTA,SP,MARABA PAULISTA,Estadual,Médio,465.61,412.38
EEEFM RUTH ROSITA DE NAZARE GONSALEZ,PA,BELEM,Estadual,Médio,465.61,427.43
EEEFM PROF OLIVEIRA BRITO,PA,CAPANEMA,Estadual,Médio Baixo,465.59,446.67
ESCOLA DE REFERENCIA EM ENSINO MEDIO SOFRONIO PORTELA,PE,MORENO,Estadual,Médio Baixo,465.58,377.50
MANOEL MARTINS,SP,MORRO AGUDO,Estadual,Médio Alto,465.58,381.63
PAULO ELPIDIO EEFM,CE,FORTALEZA,Estadual,Médio Baixo,465.57,433.33
EEEFM MONS JOSE BORGES,PB,SAO SEBASTIAO DE LAGOA DE ROCA,Estadual,Médio Baixo,465.55,451.73
ESC EST DE ENS MEDIO OLIMPIO GARIBALDI VILLARINHO,RS,SAGRADA FAMILIA,Estadual,Médio,465.55,450.00
EEEFM FRANCISCO DE SA CAVALCANTE,PB,PAULISTA,Estadual,Baixo,465.54,384.07
EEEFM MARIA BALBINA PEREIRA,PB,SERRA BRANCA,Estadual,Baixo,465.54,447.69
CELESTINA DE CAMPOS TOLEDO TEIXEIRA PROFESSORA,SP,PRESIDENTE PRUDENTE,Estadual,Médio Alto,465.54,392.86
EE PEDRO GARDES,MT,VARZEA GRANDE,Estadual,Médio Alto,465.49,431.71
COLEGIO ESTADUAL SENADOR WALTER FRANCO,SE,ESTANCIA,Estadual,Médio Baixo,465.46,422.54
ESC EST PROFª MARIA ANGELINA GOMES - FUND E MEDIO,RN,RIACHO DE SANTANA,Estadual,Médio Baixo,465.46,427.27
EE - COLEGIO NOSSA SENHORA DO ROSARIO,BA,RODELAS,Estadual,Médio Baixo,465.46,411.22
COLEGIO ESTADUAL SILVIO DE CASTRO RIBEIRO,GO,JARAGUA,Estadual,Médio,465.45,394.76
CE SAO FRANCISCO,MA,SANTANA DO MARANHAO,Estadual,Muito Baixo,465.45,394.55
EE PROFESSORA MARIA OLIMPIA OLIVEIRA,MG,FAMA,Estadual,Médio,465.45,480.00
CARMELINA BARBOSA PROFA ETEC,SP,DRACENA,Estadual,Médio,465.45,460.00
JADER DE FIGUEIREDO CORREIA EEM,CE,TAMBORIL,Estadual,Baixo,465.44,448.44
ESCOLA ESTADUAL MARIA DAS GRACAS DE SA TEIXEIRA,AL,MACEIO,Estadual,Médio Baixo,465.44,407.12
PEDRO AMERICO C E C EF M,PR,SERRANOPOLIS DO IGUACU,Estadual,Médio Alto,465.44,472.00
EEEFM MAL CORDEIRO DE FARIAS,PA,BELEM,Estadual,Médio,465.43,444.44
ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,AC,RIO BRANCO,Estadual,Médio,465.42,380.27
EEEFM PREFEITO JOSE ANTONIO NEVES,PB,LOGRADOURO,Estadual,Baixo,465.41,425.71
COLEGIO ESTADUAL NOVA CIDADE,GO,APARECIDA DE GOIANIA,Estadual,Médio,465.41,416.32
COLEGIO ESTADUAL PROFESSORA JOANA BATISTA CORDEIRO,TO,ARRAIAS,Estadual,Médio Baixo,465.41,401.61
EEEF FREI DANIEL,PA,BELEM,Estadual,Médio,465.38,354.39
EEEM PROFA MARIETA EMMI,PA,SANTA ISABEL DO PARA,Estadual,Baixo,465.37,401.14
ESCOLA ESTADUAL SAO GABRIEL,AM,SAO GABRIEL DA CACHOEIRA,Estadual,Médio,465.36,420.60
COLEGIO ESTADUAL JOAO CARNEIRO DOS SANTOS,GO,SENADOR CANEDO,Estadual,Médio,465.36,409.85
UNID ESC AGOSTINHO REIS,PI,COLONIA DO GURGUEIA,Estadual,Baixo,465.35,357.00
EEEFM JANUARIO RIBEIRO,ES,PANCAS,Estadual,Médio Baixo,465.33,394.55
ROMEU DE CASTRO MENEZES EEM,CE,CAUCAIA,Estadual,Médio Baixo,465.31,386.00
ESCOLA NORMAL OFICIAL DE PICOS,PI,PICOS,Estadual,Médio Baixo,465.30,427.45
EE DIONE AUGUSTA SILVA SOUZA,MT,CUIABA,Estadual,Médio,465.30,422.55
ESC EST PROF RAIMUNDA VIRGOLINO,AP,MACAPA,Estadual,Médio Baixo,465.28,415.89
EE HIST RUBENS DE MENDONCA,MT,CUIABA,Estadual,Médio Alto,465.28,346.92
EE - COLEGIO ESTADUAL RUI BACELAR,BA,NOVO TRIUNFO,Estadual,Médio Baixo,465.26,401.74
EE DE PAMPA,MG,FRONTEIRA DOS VALES,Estadual,Médio Baixo,465.23,407.86
COLEGIO ESTADUAL JOSE ALVES TOLEDO,GO,URUANA,Estadual,Médio Baixo,465.23,352.38
TANCREDO NUNES DE MENEZES EEM,CE,TIANGUA,Estadual,Baixo,465.22,392.56
CE MULLULO DA VEIGA,RJ,NITEROI,Estadual,Médio Alto,465.20,456.00
ESCOLA ESTADUAL JOSE DE ALENCAR,RR,RORAINOPOLIS,Estadual,Médio Baixo,465.20,433.19
COLEGIO ESTADUAL HELOISA DE FATIMA VARGAS,GO,NOVA GLORIA,Estadual,Médio,465.19,395.88
CED 416 DE SANTA MARIA,DF,BRASILIA,Estadual,Médio Alto,465.19,448.64
MAL HUMBERTO DE ALENCAR CASTELO BRANCO EEFM,CE,FORTALEZA,Estadual,Médio,465.19,425.67
EEEM DR FABIO LUZ,PA,TOME-ACU,Estadual,Baixo,465.18,381.48
COLEGIO ESTADUAL MAJOR EMIDIO,GO,CAMPO ALEGRE DE GOIAS,Estadual,Médio,465.18,431.92
EEEFM MONS ODILON ALVES PEDROSA,PB,SAPE,Estadual,Médio Baixo,465.18,420.56
VALDIVINO DE CASTRO PEREIRA,SP,GUARULHOS,Estadual,Médio Alto,465.17,455.24
COLEGIO ESTADUAL ARGEMIRO ANTONIO DE ARAUJO,GO,POSSE,Estadual,Médio,465.17,380.31
UNID ESC FRANCISCO SALES MARTINS,PI,CASTELO DO PIAUI,Estadual,Baixo,465.16,384.91
ESCOLA ESTADUAL FRANCISCO PEREIRA FELICIO,TO,COLINAS DO TOCANTINS,Estadual,Médio Baixo,465.15,387.62
JOSE BEZERRA DE MENEZES EEFM,CE,FORTALEZA,Estadual,Médio Baixo,465.15,400.28
UNID ESC VALDIVINO TITO,PI,CAMPO MAIOR,Estadual,Muito Baixo,465.14,401.70
EE SEBASTIAO GURGEL ENSINO MEDIO,RN,CARAUBAS,Estadual,Médio Baixo,465.11,429.59
EE - COLEGIO ESTADUAL PROFESSORA LEILA RUBENS FONSECAANTIGA DIRLENE MENDONCA,BA,SALVADOR,Estadual,Médio,465.11,366.32
EEEFM CONEGO NICODEMOS NEVES,PB,JOAO PESSOA,Estadual,Médio,465.10,401.95
COLEGIO ESTADUAL JOAO HONORATO,GO,SAO DOMINGOS,Estadual,Médio,465.10,364.39
EE - COLEGIO ESTADUAL MOYSES BOHANA,BA,ILHEUS,Estadual,Médio Baixo,465.09,404.74
ESC EST 11 DE AGOSTO,RN,UMARIZAL,Estadual,Médio Baixo,465.08,417.56
UNIDADE ESCOLAR SANTA INES,PI,TERESINA,Estadual,Médio,465.08,355.62
EE DR JOSE MANOEL FONTANILLAS FRAGELLI,MS,ANGELICA,Estadual,Médio Alto,465.06,432.41
EEEFM MARIA ANTONIETA SERRA FREIRE,PA,BELEM,Estadual,Médio,465.05,392.88
ADAUTO BEZERRA EEM,CE,BARBALHA,Estadual,Médio Baixo,465.05,393.38
EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL DO OCEANO,BA,VERA CRUZ,Estadual,Sem informação,465.04,408.18
EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL DO CAMPO MILTON SANTOS,BA,ARATACA,Estadual,Médio Baixo,465.04,411.43
CENTRO DE ENSINO MEDIO PROFESSORA ANTONINA MILHOMEM,TO,ARAGUATINS,Estadual,Médio Baixo,465.03,395.44
EDUCANDARIO SARAH KALLEY,PE,CUPIRA,Privada,Médio Baixo,465.03,480.00
GRIJALVA COSTA EEM,CE,UBAJARA,Estadual,Baixo,465.03,432.70
SANTA RITA DE CASSIA,SP,MIRACATU,Estadual,Médio,465.03,405.45
ALFREDO MACHADO EEM,CE,MADALENA,Estadual,Baixo,465.01,416.29
ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM NABUCO,PE,RECIFE,Estadual,Médio Baixo,464.99,341.70
EE - COLEGIO ESTADUAL ALMAKAZIR GALLY GALVAO,BA,COARACI,Estadual,Baixo,464.98,394.95
ESCOLA ESTADUAL MARIA DA LUZ CALDERARO,AM,MANAUS,Estadual,Médio,464.97,414.05
CE DR CARLOS MAGNO DUQUE BACELAR,MA,COELHO NETO,Estadual,Baixo,464.97,418.42
COLEGIO ESTADUAL CORA CORALINA,GO,AGUAS LINDAS DE GOIAS,Estadual,Médio,464.95,357.78
JARDIM DOS COQUEIROS,SP,SAO CARLOS,Estadual,Sem informação,464.95,461.25
CE ESTADO DA GUANABARA,MA,SAO JOSE DE RIBAMAR,Estadual,Médio Baixo,464.92,390.73
ESC EST JOSE AURELIANO DA COSTA,RR,CANTA,Estadual,Médio,464.90,439.05
MARIA NEUSA ARAUJO MOURA EEM,CE,SANTA QUITERIA,Estadual,Baixo,464.88,347.16
ARROIO GRANDE C E C EF M,PR,PITANGA,Estadual,Médio,464.87,368.33
ESC EDMUNDO PINTO DE ALMEIDA NETO,AC,PORTO ACRE,Estadual,Médio,464.87,404.26
E E E M CATARINA BRIDI,RS,IBARAMA,Estadual,Médio,464.84,412.14
EE - COLEGIO ESTADUAL DE SERROLANDIA,BA,SERROLANDIA,Estadual,Médio Baixo,464.83,441.70
PROFESSOR ANTONIO MARTINS FILHO EEM,CE,MARACANAU,Estadual,Médio Baixo,464.82,404.80
ESC ESTADUAL PROF EDMILSON DE VASCONCELOS PONTES,AL,MACEIO,Estadual,Médio,464.82,340.00
COLEGIO ESTADUAL DELMIRO DE MIRANDA BRITTO,SE,CANINDE DE SAO FRANCISCO,Estadual,Médio Baixo,464.82,381.55
EEEFM ALM ANTONIO HERACLITO DO REGO,PB,BARRA DE SANTANA,Estadual,Baixo,464.82,389.79
CE TANCREDO DE ALMEIDA NEVES,MA,IMPERATRIZ,Estadual,Médio Baixo,464.81,436.00
ESCOLA ESTADUAL PROFESSORA VANDA DA SILVA PINTO,RR,BOA VISTA,Estadual,Médio Baixo,464.81,377.38
RIO BRANCO C E BR DO EF M PROFIS,PR,ASSAI,Estadual,Médio Alto,464.81,427.14
COLEGIO ESTADUAL DR ONERIO PEREIRA VIEIRA,GO,QUIRINOPOLIS,Estadual,Médio,464.78,348.57
EEEFM S PROF CAMILO SALGADO,PA,BELEM,Estadual,Médio,464.77,386.25
EEEB NOSSA SENHORA DO BOM CONSELHO,PB,PRINCESA ISABEL,Estadual,Baixo,464.72,445.39
ESCOLA ESTADUAL PADRE JOSE MONTICONE,RR,MUCAJAI,Estadual,Médio,464.71,387.11
MARIA MENEZES CRISTINO EEM,CE,COREAU,Estadual,Baixo,464.70,385.26
CE ROSEANA SARNEY MURAD,MA,SAO LUIS,Estadual,Médio Baixo,464.69,407.27
COLEGIO ESTADUAL DR ANTONIO GARCIA FILHO,SE,UMBAUBA,Estadual,Médio Baixo,464.69,390.73
COLEGIO ESTADUAL GUMERCINDO BESSA,SE,ESTANCIA,Estadual,Médio Baixo,464.68,414.36
CE PARSONDAS DE CARVALHO,MA,MONTES ALTOS,Estadual,Baixo,464.68,435.12
ROSA FRANCISCA MANO,SP,EUCLIDES DA CUNHA PAULISTA,Estadual,Médio Alto,464.67,417.08
ANTONIO CUSTODIO EEM,CE,FRECHEIRINHA,Estadual,Baixo,464.67,380.35
ESCOLA ESTADUAL TIRADENTES,AM,MANAUS,Estadual,Médio,464.67,433.71
EEEFM NOSSA SENHORA APARECIDA,PA,SANTAREM,Estadual,Médio,464.66,436.85
EXTERNATO SANTA CLARA II,RN,CAICO,Privada,Alto,464.65,511.67
EE DE NINHEIRA,MG,NINHEIRA,Estadual,Médio Baixo,464.64,394.78
CE LUSO ROCHA,MA,RIACHAO,Estadual,Médio Baixo,464.60,421.89
CE PADRE JOAO BATISTA TEIXEIRA,MA,AMARANTE DO MARANHAO,Estadual,Baixo,464.60,356.56
COLEGIO ESTADUAL DESOR HAMILTON BARROS VELASCO,GO,PALMINOPOLIS,Estadual,Médio,464.58,376.00
CARNEIRO DE MENDONCA EEM,CE,MARACANAU,Estadual,Baixo,464.57,398.52
EE MANOEL TIBERIO,MG,ICARAI DE MINAS,Estadual,Baixo,464.57,360.00
EEEM PROFA MARIA CAMARA PAES,PA,BREVES,Estadual,Baixo,464.57,452.49
ESCOLA SIGISMUNDO GONCALVES,PE,OLINDA,Estadual,Médio,464.56,383.33
EE DONA VALENTINA ALKIMIM,MG,CLARO DOS POCOES,Estadual,Médio Baixo,464.56,350.43
ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE LOPES DE SIQUEIRA,PE,JATAUBA,Estadual,Baixo,464.55,349.84
EE JOAQUIM FERNANDES ABADE,MG,AGUAS VERMELHAS,Estadual,Baixo,464.55,355.71
ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE CALDAS CAVALCANTI,PE,CABROBO,Estadual,Baixo,464.55,396.62
EE - COLEGIO ESTADUAL LUCIBERTO OLIVEIRA DOS SANTOS - DIS DE SANTA RITA DE CASSIA,BA,VALENTE,Estadual,Baixo,464.55,390.00
JOAO PAULO I C E EF M,PR,BOM SUCESSO,Estadual,Médio,464.54,403.26
EDSON CORREA EEFM,CE,CAUCAIA,Estadual,Baixo,464.54,371.17
EEEFM MARCIA GUEDES ALCOFORADO DE CARVALHO,PB,BELEM,Estadual,Médio Baixo,464.53,414.15
EEEFM JOSE DE ANCHIETA,RO,CABIXI,Estadual,Médio,464.52,356.32
ESCOLA ESTADUAL PADRE IBIAPINA,RN,ACU,Estadual,Médio Baixo,464.52,440.47
VALDO DE VASCONCELOS RIOS LICEU DE ITAREMA,CE,ITAREMA,Estadual,Baixo,464.52,388.92
EEB PROF JOAQUIM SANTIAGO,SC,SAO JOSE,Estadual,Médio Alto,464.51,443.53
EEEFM PROF JOSEFA JUSTINO GOMES,PB,SERRA GRANDE,Estadual,Médio Baixo,464.51,380.00
COLEGIO ESTADUAL PROF NILSON SOCORRO,SE,NOSSA SENHORA DO SOCORRO,Estadual,Médio Baixo,464.49,365.00
ESC EST MARIO QUIRINO DA SILVA,AP,MACAPA,Estadual,Médio Alto,464.48,468.26
ESCOLA ESTADUAL SAO PEDRO,AM,MAUES,Estadual,Médio,464.48,449.54
ESCOLA ANTONIO SOUTO FILHO,PE,OLINDA,Estadual,Médio,464.48,428.18
CE CIDADE DE SAO LUIS,MA,SAO LUIS,Estadual,Médio Baixo,464.47,404.65
COLEGIO ESTADUAL PROFESSORA LAUDOMIRA MARTINS DE MOURA,GO,TROMBAS,Estadual,Médio Baixo,464.46,340.54
EEEFM 4 DE JANEIRO,RO,PORTO VELHO,Estadual,Médio Alto,464.46,423.92
CE MINISTRO JOSE DE MOURA E SILVA,RJ,SAO GONCALO,Estadual,Médio Alto,464.46,488.24
EEEFM PROF MANOEL SATURNINO DE ANDRADE FAVACHO,PA,ANANINDEUA,Estadual,Médio Baixo,464.46,428.26
EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO - EDUCACAO INTEGRAL,BA,FEIRA DE SANTANA,Estadual,Médio,464.45,474.29
COLEGIO JOAO XXIII,GO,NOVO GAMA,Privada,Alto,464.44,487.27
EEEM D ARLINDA P DA SILVA,PB,JURU,Estadual,Médio Baixo,464.42,370.00
EE DEP CARLOS SOUZA MEDEIROS,MS,ANASTACIO,Estadual,Médio,464.40,375.91
ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA TEREZINHA,PE,SANTA TEREZINHA,Estadual,Médio Baixo,464.36,433.65
EE SEBASTIAO SIMAO DE MELO,MG,JOAO PINHEIRO,Estadual,Médio,464.36,450.77
ESCOLA ESTADUAL SENADOR HELIO DA COSTA CAMPOS,RR,BOA VISTA,Estadual,Médio,464.36,450.79
ESCOLA CONEGO JONAS TAURINO,PE,OLINDA,Estadual,Médio,464.35,334.40
EEEFM JOAO LELYS,PB,LIVRAMENTO,Estadual,Baixo,464.34,472.00
COLEGIO ESTADUAL PROFESSOR ADALBERTO SOBRINHO DE SOUZA,GO,AURILANDIA,Estadual,Médio Baixo,464.33,370.00
WILSON GONCALVES COLEGIO ESTADUAL,CE,CRATO,Estadual,Médio Baixo,464.31,394.25
EE - COLEGIO ESTADUAL WALTER BRANDAO,BA,JAGUARARI,Estadual,Baixo,464.30,390.00
RAUL BARBOSA EEM,CE,JAGUARIBE,Estadual,Médio Baixo,464.30,404.42
EEEFM PROFª CAROLINA PICHLER,ES,COLATINA,Estadual,Médio,464.28,453.96
EEEFM JADERLANDIA,PA,ANANINDEUA,Estadual,Médio,464.27,418.73
EE SANTA ELVIRA,MT,JUSCIMEIRA,Estadual,Médio,464.26,423.08
EEEM ERNESTO TOCCHETTO,RS,PASSO FUNDO,Estadual,Médio Alto,464.26,443.33
CE FLAVIO RIBEIRO DE REZENDE,RJ,NATIVIDADE,Estadual,Médio,464.23,439.35
OLIMPIO SAMPAIO DA SILVA EEM,CE,URUOCA,Estadual,Baixo,464.23,393.17
EEEM PROFESSORA BEATRIZ MARIA DE ABREU,PB,CASSERENGUE,Estadual,Baixo,464.23,394.86
UNIDADE ESCOLAR CARLOS FRANCO,PI,GUADALUPE,Estadual,Médio Baixo,464.22,456.33
COLEGIO ESTADUAL AMERICO GONCALVES FALEIRO,GO,FIRMINOPOLIS,Estadual,Médio,464.21,333.33
COLEGIO ESTADUAL JOSE DE ANCHIETA,GO,VILA PROPICIO,Estadual,Médio Baixo,464.21,328.42
ESC EST PROF ANTONIO FERREIRA LIMA NETO,AP,MACAPA,Estadual,Médio,464.20,399.46
