Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
COLEGIO ISRAELITA BRASILEIRO,RS,PORTO ALEGRE,Privada,Muito Alto,643.51,730.61
COLEGIO DO SALVADOR,SE,ARACAJU,Privada,Muito Alto,643.43,737.24
SUICO BRASILEIRA SAO PAULO ESCOLA,SP,SAO PAULO,Privada,Muito Alto,643.41,694.44
COLEGIO PALAS,RJ,RIO DE JANEIRO,Privada,Muito Alto,642.90,696.00
COLEGIO AGOSTINIANO NS DE FATIMA,GO,GOIANIA,Privada,Muito Alto,642.80,740.65
NEXT COLEGIO,SP,ITATIBA,Privada,Muito Alto,642.80,693.24
CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA,PB,CAMPINA GRANDE,Privada,Muito Alto,642.78,755.51
COLEGIO CAESP FOZ DO IGUACU - EM,PR,FOZ DO IGUACU,Privada,Muito Alto,642.76,700.00
FAAP RIBEIRAO PRETO COLEGIO,SP,RIBEIRAO PRETO,Privada,Muito Alto,642.60,725.95
ESC STO TOMAS DE AQUINO,MG,BELO HORIZONTE,Privada,Muito Alto,642.55,705.78
COLEGIO OLIMPO,GO,ANAPOLIS,Privada,Sem informação,642.51,769.41
COL SINAPSE,MG,OURO PRETO,Privada,Muito Alto,642.50,756.47
JOSE CESARIO PIMENTEL ESCOLA MODELO DE ENSINO FUND E MEDIO,SP,SANTA CRUZ DO RIO PARDO,Privada,Muito Alto,642.36,702.22
EINSTEIN COLEGIO,SP,RIBEIRAO PRETO,Privada,Muito Alto,642.33,695.90
SAO PAULO ESCOLA EDUCACAO INFANTIL EIFM,SP,HOLAMBRA,Privada,Muito Alto,641.99,686.25
COL LOSANGO DE FORMIGA,MG,FORMIGA,Privada,Muito Alto,641.91,707.06
VISCONDE DE PORTO SEGURO COLEGIO UNIDADE III,SP,SAO PAULO,Privada,Muito Alto,641.90,698.76
JEAN PIAGET UNIDADE II EEPG,SP,SANTOS,Privada,Muito Alto,641.84,701.23
CE CHARLES DARWIN,ES,VITORIA,Privada,Muito Alto,641.78,636.09
RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO,SP,JAU,Privada,Muito Alto,641.73,715.61
RIO BRANCO COLEGIO,SP,CAMPINAS,Privada,Muito Alto,641.72,696.00
ATIBAIA COLEGIO INTEGRADO DE,SP,ATIBAIA,Privada,Muito Alto,641.57,742.86
COLEGIO JOAO PAULO I,RS,PORTO ALEGRE,Privada,Muito Alto,641.38,687.69
COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM,RJ,RIO DE JANEIRO,Privada,Muito Alto,641.33,798.00
INSTITUTO NOSSA SENHORA DA PIEDADE II,RJ,RIO DE JANEIRO,Privada,Muito Alto,641.17,682.98
CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA,PB,JOAO PESSOA,Privada,Muito Alto,641.07,740.77
DINCAO INSTITUTO DE ENSINO,SP,BAURU,Privada,Muito Alto,640.75,739.31
ESCOLA DOM BOSCO,PI,TERESINA,Privada,Muito Alto,640.66,718.57
7 DE SETEMBRO COLEGIO - EGS,CE,FORTALEZA,Privada,Muito Alto,640.58,744.28
COLEGIO DELTA - ANAPOLIS,GO,ANAPOLIS,Privada,Muito Alto,640.51,747.59
COL SAO PAULO,RJ,RIO DE JANEIRO,Privada,Muito Alto,640.47,739.29
PRUDENTINA ESCOLA DE EDUCACAO BASICA,SP,PRESIDENTE PRUDENTE,Privada,Muito Alto,640.36,707.93
CENTRO EDUCACIONAL CHARLES DARWIN,ES,VILA VELHA,Privada,Muito Alto,640.11,609.93
COLEGIO SANT ANA,MG,ITAUNA,Privada,Muito Alto,639.92,627.43
CE PRIMEIRO MUNDO,ES,VITORIA,Privada,Muito Alto,639.70,678.57
SANTA MONICA COLEGIO,SP,MOGI DAS CRUZES,Privada,Muito Alto,639.69,708.57
PENTAGONO COLEGIO UNIDADE CAIUBI,SP,SAO PAULO,Privada,Muito Alto,639.66,804.80
GRUPO GENESE DE ENSINO LTDA,PE,RECIFE,Privada,Muito Alto,639.62,748.12
COL STA MARIA PAMPULHA,MG,BELO HORIZONTE,Privada,Muito Alto,639.53,731.02
INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM,SP,SAO JOSE DOS CAMPOS,Privada,Muito Alto,639.36,711.58
COL SAO PAULO,RJ,TERESOPOLIS,Privada,Muito Alto,639.12,726.92
COLEGIO OLIMPO,GO,GOIANIA,Privada,Muito Alto,639.08,741.60
EDUCANDARIO MIOSOTIS,RJ,NOVA FRIBURGO,Privada,Alto,638.96,725.88
ESCOLA POPULAR MADRE MARIA VILLAC,PI,TERESINA,Privada,Médio,638.93,777.00
DANTE ALIGHIERI COLEGIO,SP,SAO PAULO,Privada,Muito Alto,638.89,693.14
